imprisonment: ['-534.38', '-12.50', '-218.25']
fortress: ['-538.94', '-407.83', '-2.17']
ensnaring: ['-2.60', '-415.69', '-460.71']
construct: ['-209.48', '-13.26', '-683.04']
black: ['-8.20', '-360.66', '-296.37']
food: ['-496.49', '-91.27', '-52.49']
vine: ['-274.21', '-11.42', '-313.50']
mage: ['-93.34', '-68.79', '-226.17']
contact: ['-11.83', '-967.14', '-219.33']
wrathful: ['-13.11', '-210.00', '-772.33']
snowball: ['-1080.28', '-0.59', '-514.34']
instant: ['-23.85', '-166.88', '-374.31']
